년도,지점명칭,목적,지목,지역,면적(제곱미터),시료깊이(m),카드뮴(mg_kg),구리(mg_kg),비소(mg_kg),수은(mg_kg),납(mg_kg),6가크롬(mg_kg),아연(mg_kg),니켈(mg_kg),불소(mg_kg),유기인(mg_kg),폴리클로리네이티드비페닐(PCBs)(mg_kg),시안(mg_kg),페놀류(mg_kg),벤젠(mg_kg),톨루엔(mg_kg),에틸벤젠(mg_kg),크실렌(mg_kg),석유계총탄화수소(TPH)(mg_kg),트리클로로에틸렌(TCE)(mg_kg),테트라클로로에틸렌(PCE)(mg_kg),벤조(a)피렌(mg_kg),12디클로로에탄(mg_kg),수소이온농도(pH)
2021,건백산업,폐기물 처리 및 재활용 관련 지역,잡종지(2지역),2지역,1577,15cm,0,15.7,3.68,0.05,14.9,0,86.7,9.5,324,,,0,0,0,0,0,0,1104,,,,,9.6
2021,도계매립장,폐기물 처리 및 재활용 관련 지역,전,1지역,2661,15cm,0,31.2,0,0.02,69.3,0,72.4,20.4,,0,,0,,,,,,,,,,,7.5
2021,미로역,철도관련 시설 및 철도 폐침목 사용지역,철도용지,3지역,577,15cm,0,20.8,0,0,19.9,0,196,18.3,280,,,0,,,,,,94,,,0.044,,6.2
2021,도계역,철도관련 시설 및 철도 폐침목 사용지역,철도용지,3지역,12664,15cm,0,37.1,0,0.06,26.3,0,142.2,17,233,,,0,,,,,,91,,,0.013,,7.9
2021,정라초등학교,어린이 놀이시설지역,학교용지,1지역,15563,15cm,0.5,0,0,0,4.4,0,43.2,3.9,,,,0,,,,,,,,,,,7.8
2021,북방공업단지,산업단지 및 공장지역,답,1지역,1430,표토(15cm),0.19,20.9,6.52,0.06,21.7,0,92.2,24.7,,0,,0,,,,,,,,,,,7.1
2021,홍천축산업협동조합 육가공공장,공장폐수 유입지역,공장용지,3지역,3103.4,표토(15cm),0,23.4,5.94,0.06,26.7,0,174.9,38.2,328,,,0,0,0,0,0,0,120,0,0,0,,6.8
2021,환경기초시설,폐기물 처리 및 재활용 관련 지역,대지(2지역),2지역,2556,표토(15cm),0.3,14.8,1.85,0.01,12.4,0,93.2,20.1,236,,,0,,,,,,,,,,,8.2
2021,재활용분류장,폐기물 처리 및 재활용 관련 지역,전,1지역,1216,표토(15cm),0.43,25.4,3.76,0.04,26.7,0,128.8,30.3,,0,,0,,,,,,,,,,,7.6
2021,굿모닝주유소,노후·방치 주유소 지역,주유소용지,3지역,1190,표토(15cm),0,0,0,0.02,20,0,52.7,1.8,,,,0,,0,0,0,0,56,,,,,7.7
2021,홍천군 주차장,교통관련시설지역,대지(2지역),2지역,950,표토(15cm),0.22,21.9,7.01,0.04,18.2,0,74,23.8,195,,,0,,,,,,,,,,,6.9
2021,민원발생1,사고·민원 등 발생지역,답,1지역,3074,표토(15cm),0,10.2,3.07,0.05,18.3,0,67.9,14.2,,0,,0,,,,,,,,,,,5.7
2021,민원발생2,사고·민원 등 발생지역,전,1지역,1269,표토(15cm),0,14.5,2.33,0.03,16.3,0,78.4,10.2,,0,,0,,,,,,,,,,,6.2
2021,꽃뫼공원,어린이 놀이시설지역,공원용지,1지역,2423,표토(15cm),0,17.9,2.05,0.08,21.9,0,100.7,19.7,,,,0,,,,,,,,,,,8.6
2021,무궁화수목원,어린이 놀이시설지역,과수원,1지역,2300,표토(15cm),0.14,13.7,1.85,0.04,12.1,0,67.5,23,,0,,0,,,,,,,,,,,6.3
2021,도시산림공원토리숲,어린이 놀이시설지역,공원용지,1지역,1167,표토(15cm),0.37,24.8,4.4,0.02,20.4,0,123.2,29.3,,,,0,,,,,,,,,,,7.8
2021,주봉초등학교와동분교,어린이 놀이시설지역,학교용지,1지역,13496,표토(15cm),0,3,2.08,0,8.7,0,58,4.4,,,,0,,,,,,,,,,,7.6
2021,서석초등학교청량분교,어린이 놀이시설지역,학교용지,1지역,6583,표토(15cm),0,3.2,1.58,0.01,24.1,0,58.9,5.4,,,,0,,,,,,,,,,,7.1
2021,홍천읍생활체육공원,어린이 놀이시설지역,답,1지역,426,표토(15cm),0,13,3.49,0.05,13.6,0,73.2,18.7,,0,,0,,,,,,,,,,,7.8
2021,북방농공단지,토지개발지역,답,1지역,3131,표토(15cm),0.17,40.5,2.52,0.05,18.3,0,119.5,37.2,,0,,0,,,,,,,,,,,8.1
